"","X","LAT","LONG","SP_GROUP","AGE","P0","BA","D","H","YEAR","FOREST_TYPE","TOTAL_VOLUME"
"436",436,62.8,22.8,2,71,1143.2,43.65404985,22.33584152,16.98243139,2010,2,352.5494695
"452",452,62.9,28.3,2,77,1088.5575,26.45897378,20.48625211,15.66614225,2010,3,199.2099528
"457",457,62.9,26.3,4,22,1100.37,22.0383093,7.026080901,7.278349549,2010,2,81.54878965
"462",462,63,30.7,1,133,1019.1275,29.23857227,28.6259053,20.18359745,2010,4,276.5751962
"474",474,63,29.7,1,110,1059.505,16.87054674,19.06704943,13.55612065,2010,2,114.1279388
"485",485,63,26.3,1,31,1081.845,8.170465556,12.33575436,9.214624606,2010,4,40.35331558
"499",499,63.1,24.1,1,30,1069.945,15.45498321,9.566121094,7.508192811,2010,4,65.16275409
"507",507,63.1,24.7,1,56,1047.305,33.80689662,10.2083889,8.101,2010,4,151.1077343
"512",512,63.1,26.9,2,141,1087.5675,42.31704655,25.72022598,19.36386268,2010,2,382.518229
"517",517,63.2,21.6,4,32,1210.8675,10.62308635,16.13274978,13.24334229,2010,3,64.95350188
"518",518,63.2,22.1,1,32,1188.3025,1.465402184,10.35009967,7.968851659,2010,7,6.463540878
"527",527,63.2,23.5,1,73,1119.87,11.77247348,12.48064018,9.338114184,2010,5,58.76616193
"533",533,63.2,25.2,4,57,1066.16,30.09463577,19.37773769,15.45895124,2010,3,211.0343891
"537",537,63.2,24.9,1,97,1049.825,30.30129733,25.13684738,17.73027034,2010,4,256.8769411
"538",538,63.2,25.5,1,21,1067.435,12.98435469,8.599416118,6.913093176,2010,4,51.49211617
"540",540,63.2,28.3,4,33,1045.42,18.13518324,17.7434061,14.33503754,2010,1,118.9429281
"549",549,63.3,27.2,1,29,1056.5725,17.14691169,14.36043511,10.50700679,2010,1,94.0738574
"554",554,63.3,21.6,2,85,1209.5375,42.53471997,22.15191974,16.84654611,2010,2,341.0944575
"564",564,63.4,24.1,1,102,1090.4875,31.2889788,22.6954726,16.0481275,2010,3,243.8615948
"571",571,63.4,28.6,1,32,1008.4175,19.0168852,11.99518259,9.023541531,2010,4,92.38907226
"584",584,63.5,24.6,2,110,1067.45,20.23974398,22.87529603,17.31303865,2010,3,166.0570012
"592",592,63.5,28.6,1,40,1002.825,21.69987582,16.90881189,12.19295027,2010,4,134.4765455
"593",593,63.5,28.8,1,87,1015.1225,11.84117842,15.62614688,11.35059824,2010,5,69.18680884
"594",594,63.5,29.4,1,51,1031.86,20.74554091,17.39577469,12.51606618,2010,3,131.3728402
"597",597,63.5,27.7,2,110,1033.475,35.21862973,30.48644946,22.92669467,2010,2,368.2001224
"617",617,63.6,27.2,4,24,1036.52,12.58448327,7.45846228,7.542712343,2010,2,47.84840318
"620",620,63.6,28.3,1,80,998.105,22.91644258,19.32673497,13.79919714,2010,3,157.3841618
"621",621,63.6,24.9,1,26,1054.575,13.60940199,8.347462979,6.761975454,2010,3,53.10915046
"634",634,63.7,28.6,1,39,996.6675,22.26615268,18.52742966,13.26062563,2010,3,147.9253527
"635",635,63.7,29.4,1,78,968.5975,14.43003583,12.61075017,9.425828889,2010,4,72.57033985
"639",639,63.8,29.2,2,113,957.37,26.77117676,21.40661322,16.27777464,2010,3,208.2322635
"646",646,63.8,26,4,59,1043.55,12.80844093,18.82850141,15.08391216,2010,3,87.88952708
"655",655,63.9,24,2,68,1107.5025,25.48836137,21.28107176,16.22331923,2010,3,197.7990161
"661",661,63.9,26.9,2,51,1013.6375,30.66480142,14.49206385,11.54339597,2010,3,177.5419501
"674",674,63.9,28,1,74,970.5125,11.16508173,15.00339975,10.94132571,2010,4,63.3082535
"680",680,64,30.3,2,170,935.495,23.97767238,16.16562846,12.58964324,2010,3,149.2143836
"681",681,64,30.3,2,175,935.495,20.32066345,17.54373385,13.50101168,2010,3,134.2085493
"688",688,64,25.1,1,96,1079.84,10.89219229,10.11264472,7.841342318,2010,5,47.4579347
"699",699,64,26.9,1,64,1004.8575,20.06648154,21.4783505,15.23519991,2010,4,149.7149351
"703",703,64.1,24,2,59,1145.6825,30.86491639,18.01459355,13.94091212,2010,2,210.0392331
"709",709,64.1,28,1,69,970.6,18.90470806,12.91323911,9.608693436,2010,1,96.53681728
"720",720,64.3,24,1,68,1162.555,17.1136145,20.12510914,14.32017107,2010,4,121.2221343
"725",725,64.3,28.6,1,65,936.735,15.74916524,16.23488116,11.75251788,2010,3,94.68666848
"728",728,64.3,26.9,1,39,1019.635,36.97609962,16.61603421,12.02243947,2010,3,226.5171122
"743",743,64.4,26.6,4,57,1011.65,21.03089704,14.66689135,12.25534567,2010,3,120.0787097
"747",747,64.5,24.8,1,96,1103.3425,32.18494421,25.04095486,17.65717158,2010,3,271.8881448
"754",754,64.5,25.7,1,48,1068.1225,17.14845854,13.11008479,9.726992936,2010,3,88.42633892
"757",757,64.5,28.3,1,25,936.7275,19.29228254,8.917895611,7.127529535,2010,3,78.25005103
"765",765,64.6,28.3,1,41,936.7275,16.42851213,13.63121032,10.06319667,2010,4,87.05488893
"780",780,64.9,29.5,4,33,889.1625,3.992209433,7.29965112,7.447827311,2010,1,15.03265999
"783",783,64.9,26.9,1,78,991.46,11.36096033,9.13010363,7.247250433,2010,4,46.65172618
